dam_name,restricted,year_completed,normal_storage,county,stream,downstream_town,town_distance,last_inspection_date,details,latitude,longitude
Twin Lakes,FALSE,1948,86000,Lake,Lake Creek,Granite,5,09/24/2019,https://dwr.state.co.us/Tools/DamSafety/Details/110118,39.081674,-106.315574
Palisade Cabin,FALSE,1956,1018,Mesa,Cottonwood Creek,Palisade,8,07/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/720223,39.085005,-108.273897
Cottonwood #5,FALSE,1909,352,Mesa,Cottonwood Creek,Molina,9,08/09/2018,https://dwr.state.co.us/Tools/DamSafety/Details/720302,39.088336,-107.95557
Big Creek #3,FALSE,1893,1549,Mesa,E Fork Big Creek,Plateau City,11,08/07/2018,https://dwr.state.co.us/Tools/DamSafety/Details/720104,39.095009,-107.877235
Woodmoor Lake,FALSE,1973,690,El Paso,Dirty Woman Creek,Monument,0,05/14/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100311,39.098339,-104.860566
Parker Basin #3,FALSE,1899,400,Mesa,Cottonwood Creek,Molina,8,08/09/2018,https://dwr.state.co.us/Tools/DamSafety/Details/720226,39.101672,-107.957237
Bonham-Wells,FALSE,1900,1223,Mesa,Big Creek,Plateau City,10,08/08/2018,https://dwr.state.co.us/Tools/DamSafety/Details/720109,39.103335,-107.902236
Bosley Wash Detention Basin,FALSE,2019,155,Mesa,,Clifton,0.5,,https://dwr.state.co.us/Tools/DamSafety/Details/720425,39.109685,-108.424922
Palmer Lake #2,FALSE,1904,144,El Paso,N. Monument Ck,Palmer Lake,2,10/23/2019,https://dwr.state.co.us/Tools/DamSafety/Details/100227,39.113339,-104.940568
Mount Elbert Forebay,FALSE,1981,11530,Lake,Halfmoon,Buena Vista,30,08/15/2016,https://dwr.state.co.us/Tools/DamSafety/Details/110203,39.11668,-106.367235
Indian Wash Det.,FALSE,1965,570,Mesa,Indian Wash,Grand Junction,5,05/31/2018,https://dwr.state.co.us/Tools/DamSafety/Details/720138,39.12862,-108.507512
W. Cherry Creek Det. #7,FALSE,1959,115,Douglas,West Cherry Creek,Franktown,10,04/03/2019,https://dwr.state.co.us/Tools/DamSafety/Details/080314,39.141677,-104.771402
Leach Creek Detention Basin,FALSE,2015,248,Mesa,Leach Creek,Grand Junction,1.5,05/31/2018,https://dwr.state.co.us/Tools/DamSafety/Details/720422,39.158975,-108.541729
Y T Ranch,TRUE,1911,125,Mesa,Grove Creek,Collbran,5,05/30/2019,https://dwr.state.co.us/Tools/DamSafety/Details/720237,39.186675,-107.893902
Jerry Creek #2,FALSE,1978,7634,Mesa,Jerry Gulch,Grand Junction,32,06/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/720323,39.190006,-108.112228
Jerry Creek #1,FALSE,1964,1033,Mesa,Plateau Creek,Grand Junction,32,06/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/720201,39.190833,-108.116003
Jerry Creek Dike 1,FALSE,1978,4965,Mesa,Jerry Gulch,Grand Junction,32,06/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/720421,39.196117,-108.098617
Lake Deborah,FALSE,1962,248,Pitkin,Brush Creek,Snowmass Village,0.4,07/25/2019,https://dwr.state.co.us/Tools/DamSafety/Details/380222,39.206674,-106.963071
Cheesman,FALSE,1905,79064,Douglas,South Platte River,Deckers,5,06/12/2019,https://dwr.state.co.us/Tools/DamSafety/Details/800102,39.208333,-105.273901
Tarryall,TRUE,1929,1963,Park,Tarryall Creek,Deckers,20,07/12/2019,https://dwr.state.co.us/Tools/DamSafety/Details/230208,39.223338,-105.607233
Vega,FALSE,1959,33800,Mesa,Plateau Creek,Collbran,8,07/18/2018,https://dwr.state.co.us/Tools/DamSafety/Details/720235,39.225009,-107.815571
Wildcat,FALSE,1953,1100,Pitkin,Wildcat Creek,Basalt,6,06/20/2019,https://dwr.state.co.us/Tools/DamSafety/Details/380133,39.24168,-106.952229
Sugarloaf,FALSE,1968,129432,Lake,Lake Fork Creek,Buena Vista,38,06/22/2016,https://dwr.state.co.us/Tools/DamSafety/Details/110121,39.251677,-106.370293
Upper Highline,FALSE,1967,3400,Mesa,Mack Wash,Mack,4,06/05/2019,https://dwr.state.co.us/Tools/DamSafety/Details/720234,39.270007,-108.845566
Limon Watershed L-1,FALSE,1964,1200,Lincoln,Big Sandy Creek,Limon,2,11/05/2018,https://dwr.state.co.us/Tools/DamSafety/Details/670210,39.278341,-103.703903
Flagler,FALSE,1965,1360,Kit Carson,S Fork Republican Rvr,"St. Francis, Kansas",51,11/05/2018,https://dwr.state.co.us/Tools/DamSafety/Details/490103,39.293335,-102.983906
Lake Ann,FALSE,1912,460,Pitkin,West Sopris Creek,El Jebel,8,06/20/2019,https://dwr.state.co.us/Tools/DamSafety/Details/380117,39.303333,-107.117234
Wellington,FALSE,1895,4399,Jefferson,S. Fork Buffalo Creek,Buffalo Creek,5,09/19/2019,https://dwr.state.co.us/Tools/DamSafety/Details/800116,39.313335,-105.363895
James Tingle,FALSE,2009,400,Park,Michigan Creek,Jefferson,2,07/03/2019,https://dwr.state.co.us/Tools/DamSafety/Details/230317,39.349378,-105.809157
Montgomery,FALSE,1956,5088,Park,Middle Fork S. Platte,Alma,5,08/21/2019,https://dwr.state.co.us/Tools/DamSafety/Details/230134,39.353336,-106.073902
Ruedi,FALSE,1968,102369,Pitkin,Fryingpan River,Basalt,12,05/16/2017,https://dwr.state.co.us/Tools/DamSafety/Details/380136,39.361392,-106.818346
Homestake Project,FALSE,1967,42900,Eagle,Middle Fork Homestake,Minturn,16,08/01/2019,https://dwr.state.co.us/Tools/DamSafety/Details/370109,39.368338,-106.463904
Upper Blue,FALSE,1965,2140,Summit,Monte Cristo Creek,Breckenridge,7,08/21/2019,https://dwr.state.co.us/Tools/DamSafety/Details/360102,39.385285,-106.101121
Robinson,FALSE,1936,3317,Eagle,East Fork Eagle River,Redcliff,11,07/12/2019,https://dwr.state.co.us/Tools/DamSafety/Details/370107,39.396396,-106.222791
Eagle Park Reservoir,FALSE,1968,3302,Eagle,East Fork Eagle River,Redcliff,11,07/12/2019,https://dwr.state.co.us/Tools/DamSafety/Details/370103,39.403335,-106.226118
Clinton Gulch,FALSE,1977,4372,Summit,Tenmile Creek,Frisco,14,09/27/2019,https://dwr.state.co.us/Tools/DamSafety/Details/360133,39.415568,-106.176685
Strontia Springs,FALSE,1982,7700,Jefferson,South Platte River,Kassler,8,06/05/2019,https://dwr.state.co.us/Tools/DamSafety/Details/080401,39.432786,-105.126117
Spring Park,FALSE,1911,1732,Eagle,Blue Creek,El Jebel,3,05/13/2019,https://dwr.state.co.us/Tools/DamSafety/Details/380125,39.435565,-107.088898
Jefferson Lake,FALSE,1951,2560,Park,Jefferson Creek,Jefferson,5,07/11/2018,https://dwr.state.co.us/Tools/DamSafety/Details/230123,39.450561,-105.862511
Goose Pasture Tarn,TRUE,1965,812,Summit,Blue River,Breckenridge,2,08/13/2019,https://dwr.state.co.us/Tools/DamSafety/Details/360105,39.455008,-106.032226
L E D E,FALSE,1931,953,Eagle,Gypsum Creek,Gypsum,17,06/12/2019,https://dwr.state.co.us/Tools/DamSafety/Details/370105,39.466678,-106.7789
Sylvan Lake,FALSE,1947,425,Eagle,W Brush Creek,Eagle,15,07/11/2017,https://dwr.state.co.us/Tools/DamSafety/Details/370106,39.480001,-106.735571
Franktown Parker Fps-1,FALSE,1963,40,Douglas,Cherry Creek,Parker,0.1,04/05/2019,https://dwr.state.co.us/Tools/DamSafety/Details/080206,39.480841,-104.747227
Rueter Hess,FALSE,2012,75689,Douglas,Newlin Gulch,Parker,0.1,04/16/2019,https://dwr.state.co.us/Tools/DamSafety/Details/080450,39.494421,-104.820911
Consolidated,FALSE,1913,866,Garfield,West Coulter Creek,Glenwood Springs,10,06/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/380106,39.520004,-107.142237
Von Springs #2,FALSE,1943,232,Eagle,East Coulter Creek,Glenwood Springs,16,05/17/2017,https://dwr.state.co.us/Tools/DamSafety/Details/380131,39.520005,-107.087227
Franktown Parker Fpp-1,FALSE,1963,56,Douglas,Baldwin Gulch,Denver,0.1,04/05/2019,https://dwr.state.co.us/Tools/DamSafety/Details/080203,39.523334,-104.751122
Barton Porter West,FALSE,2005,1140,Garfield,Alkali Creek (East),Silt,14,06/12/2019,https://dwr.state.co.us/Tools/DamSafety/Details/450125,39.525287,-107.433066
Franktown Parker Fpb-1,FALSE,1963,128,Douglas,Cherry Creek,Parker,0.1,04/05/2019,https://dwr.state.co.us/Tools/DamSafety/Details/080129,39.534175,-104.747511
Black Lake #1,FALSE,1939,469,Eagle,Black Gore Creek,Vail,7,07/10/2019,https://dwr.state.co.us/Tools/DamSafety/Details/370123,39.54279,-106.220574
Chambers Reservoir,FALSE,2012,1410,Douglas,Happy Canyon Creek,"Parker, Co",4,03/21/2018,https://dwr.state.co.us/Tools/DamSafety/Details/080451,39.550314,-104.809442
Chatfield,FALSE,1973,26600,Jefferson,South Platte River,Littleton,0.1,09/11/2013,https://dwr.state.co.us/Tools/DamSafety/Details/080324,39.557229,-105.062507
South Platte Reservoir,FALSE,2007,6480,Arapahoe,South Platte River,Littleton,0,05/16/2019,https://dwr.state.co.us/Tools/DamSafety/Details/080446,39.570095,-105.044426
Mc Lellan,FALSE,1964,6200,Arapahoe,Dad Clark Gulch,Littleton,0.1000000015,05/16/2019,https://dwr.state.co.us/Tools/DamSafety/Details/080225,39.57084,-105.022783
Shoshone Diversion Dam,FALSE,1909,420,Garfield,Colorado River,Glenwood Springs,10,05/06/2019,https://dwr.state.co.us/Tools/DamSafety/Details/530210,39.58784,-107.194057
Englewood,FALSE,1936,0,Arapahoe,Willow Creek,Littleton,0.1000000015,11/09/2018,https://dwr.state.co.us/Tools/DamSafety/Details/080221,39.589691,-104.918176
Holly,FALSE,1979,0,Arapahoe,Little Dry Creek,Littleton,0.1000000015,11/09/2018,https://dwr.state.co.us/Tools/DamSafety/Details/080335,39.598334,-104.921403
Western Hillside Reservoir,FALSE,1997,124,Eagle,Bachelor Gulch,Avon,2,07/09/2019,https://dwr.state.co.us/Tools/DamSafety/Details/370206,39.60418,-106.542237
Polly A. Deane,TRUE,1908,512,Jefferson,Dutch Creek,Littleton,0.1,10/01/2019,https://dwr.state.co.us/Tools/DamSafety/Details/090131,39.605676,-105.138149
Grass Valley,TRUE,1892,5060,Garfield,Harvey Gap,Silt,4,04/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/390108,39.606674,-107.660573
Old Dillon,FALSE,1939,303,Summit,Salt Lick Creek,Silverthorne,1,09/27/2019,https://dwr.state.co.us/Tools/DamSafety/Details/360117,39.611677,-106.072233
Dillon,FALSE,1963,254036,Summit,Blue River,Silverthorne,0,07/23/2019,https://dwr.state.co.us/Tools/DamSafety/Details/360104,39.618333,-106.065567
Willow Springs #1,TRUE,1963,108,Jefferson,Turkey Creek,Lakewood,5,01/09/2019,https://dwr.state.co.us/Tools/DamSafety/Details/090204,39.619142,-105.180502
Senac,FALSE,1990,32400,Arapahoe,Senac Creek,Aurora,10,07/11/2019,https://dwr.state.co.us/Tools/DamSafety/Details/020614,39.620009,-104.665574
Bergen East,FALSE,1874,706,Jefferson,Weaver Gulch,Morrison,0,10/01/2019,https://dwr.state.co.us/Tools/DamSafety/Details/090104,39.621056,-105.153209
Marston Lake - South Dam,FALSE,1899,19795,Denver,South Platte River,Denver,0.1,04/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/090231,39.623753,-105.06167
Rifle Gap,FALSE,1967,13602,Garfield,Rifle Creek,Rifle,5,05/23/2019,https://dwr.state.co.us/Tools/DamSafety/Details/390119,39.626672,-107.760569
Marston Lake - East Dam,FALSE,1899,19795,Denver,South Platte River,Denver,0.1000000015,04/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/090232,39.628497,-105.0541
Bonny,FALSE,1951,41342,Yuma,South Republican River,Hale,1,05/17/2005,https://dwr.state.co.us/Tools/DamSafety/Details/490101,39.629469,-102.176722
Evergreen,FALSE,1927,669,Jefferson,Bear Creek,Evergreen,0.1000000015,09/03/2019,https://dwr.state.co.us/Tools/DamSafety/Details/090111,39.6318,-105.323002
Marston Lake - North Dam,FALSE,1899,19795,Denver,South Platte River,Denver,0.1000000015,04/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/090129,39.635286,-105.062798
Quincy,FALSE,1974,2800,Arapahoe,West Toll Gate Creek,Aurora,1,07/11/2019,https://dwr.state.co.us/Tools/DamSafety/Details/020406,39.636673,-104.780573
Benchmark Lake,FALSE,1977,125,Eagle,Eagle River,Avon,0,07/09/2019,https://dwr.state.co.us/Tools/DamSafety/Details/370124,39.636674,-106.528905
Marston Lake - Northwest Dike,FALSE,1899,19795,Denver,South Platte River,Denver,0.1000000015,04/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/090233,39.63668,-105.068347
Harriman,FALSE,2013,762,Jefferson,Weaver Creek,Lakewood,1,04/23/2019,https://dwr.state.co.us/Tools/DamSafety/Details/090115,39.638094,-105.123203
Middle Fork,FALSE,1984,140,Garfield,Middle Fork Parachute Cr,Grand Valley,14,08/29/2018,https://dwr.state.co.us/Tools/DamSafety/Details/390121,39.643337,-108.100569
Idaho Springs,FALSE,1906,230,Clear Creek,Chicago Creek,Idaho Springs,9,09/12/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070111,39.644848,-105.614948
Morrison Raw Water,FALSE,1982,29,Jefferson,Bear Creek,Morrison,1,10/03/2019,https://dwr.state.co.us/Tools/DamSafety/Details/090208,39.648894,-105.197795
Upper Cabin Creek,FALSE,1964,1602,Clear Creek,South Clear Creek,Georgetown,4,07/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070109,39.65001,-105.717237
Cherry Creek,FALSE,1935,13226,Arapahoe,Cherry Creek,Denver,0.1,06/29/2015,https://dwr.state.co.us/Tools/DamSafety/Details/080116,39.651395,-104.854729
Bear Creek,FALSE,1979,2000,Jefferson,Bear Creek,Lakewood,1,07/05/2016,https://dwr.state.co.us/Tools/DamSafety/Details/090112,39.655007,-105.138899
Skeel,TRUE,1900,205,Denver,South Platte River,Denver,0.1000000015,03/25/2019,https://dwr.state.co.us/Tools/DamSafety/Details/080327,39.656671,-104.943893
Lower Cabin Creek,FALSE,1964,1988,Clear Creek,South Clear Creek,Georgetown,3,07/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070110,39.662228,-105.706953
Genesee No. 2,FALSE,2008,101,Jefferson,,,,09/03/2019,https://dwr.state.co.us/Tools/DamSafety/Details/090240,39.668726,-105.276666
Clear Lake,FALSE,1914,703,Clear Creek,South Clear Creek,Georgetown,3,07/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070117,39.672223,-105.700572
Smith,TRUE,1908,638,Jefferson,Bear Creek,Lakewood,0,05/29/2019,https://dwr.state.co.us/Tools/DamSafety/Details/075311,39.686778,-105.113423
East,FALSE,1910,102,Jefferson,Weir Gulch,Lakewood,0.1,05/29/2019,https://dwr.state.co.us/Tools/DamSafety/Details/075309,39.692772,-105.110576
Upper Beaver Brook,FALSE,1924,397,Clear Creek,Beaver Brook,Golden,14,07/19/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070103,39.693996,-105.431701
Main,FALSE,1908,583,Jefferson,Weir Gulch,Lakewood,0.1000000015,05/29/2019,https://dwr.state.co.us/Tools/DamSafety/Details/075310,39.694129,-105.11445
Windsor,FALSE,1892,600,Denver,Westerly Creek,Denver,0.1,06/19/2019,https://dwr.state.co.us/Tools/DamSafety/Details/085439,39.702332,-104.889488
Lower Beaver Brook,FALSE,1903,30,Clear Creek,Beaver Brook,Golden,11,07/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070102,39.706018,-105.411117
Exposition Park,FALSE,2002,0,Arapahoe,Westerly Creek,Aurora,0,01/04/2019,https://dwr.state.co.us/Tools/DamSafety/Details/020643,39.710564,-104.860834
Magic Mountain #1,FALSE,1958,145,Jefferson,Jackson Gulch,Pleasant View,1,08/29/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070214,39.711676,-105.208905
Noecker,FALSE,1903,134,Eagle,Eby Creek,Eagle,3,06/04/2019,https://dwr.state.co.us/Tools/DamSafety/Details/370111,39.716673,-106.823899
Westerly Creek,FALSE,1991,4150,Denver,Westerly Creek,Denver,1,08/29/2018,https://dwr.state.co.us/Tools/DamSafety/Details/020616,39.71668,-104.8839
Lookout Mountain,FALSE,1903,101,Jefferson,Clear Creek,Golden,2,07/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070104,39.730677,-105.237961
Kelly Road Detention,FALSE,1954,360,Denver,Westerly Creek,Denver,0.1000000015,09/21/2017,https://dwr.state.co.us/Tools/DamSafety/Details/020609,39.73168,-104.890573
Georgetown,FALSE,1973,386,Clear Creek,South Clear Creek,Lawson,5,06/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070132,39.733335,-105.689113
Maple Grove,FALSE,1956,1123,Jefferson,Lena Gulch,Lakewood,0.1,09/26/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070219,39.755617,-105.137957
Guanella,FALSE,2004,1340,Clear Creek,West Fork Of Clear Creek,Empire,0.5,08/29/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070318,39.758325,-105.695841
Heart Lake,FALSE,1953,3088,Garfield,Deep Creek,Dotsero,15,07/30/2019,https://dwr.state.co.us/Tools/DamSafety/Details/530112,39.771674,-107.318907
Fairmount Reservoir,FALSE,1993,981,Jefferson,Clear Creek,Wheat Ridge,0.1000000015,09/26/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070312,39.778615,-105.174449
Hyatt,TRUE,1863,760,Jefferson,Van Bibber Creek,Arvada,0.1,08/30/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070136,39.806577,-105.159858
Meadow Creek,FALSE,1958,984,Garfield,Meadow Creek,New Castle,20,09/16/2019,https://dwr.state.co.us/Tools/DamSafety/Details/390112,39.806676,-107.547231
Chase Gulch,FALSE,1996,602,Gilpin,Chase Gulch,Black Hawk,2,09/12/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070314,39.816551,-105.529723
Lower Chinns,FALSE,1934,108,Clear Creek,Fall River,Idaho Springs,10,08/19/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070113,39.817293,-105.693245
Lower Long Lake,TRUE,1939,292,Jefferson,Ralston Creek,Arvada,2,06/06/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070115,39.819386,-105.226734
Fall River,FALSE,1974,890,Clear Creek,Fall River,Idaho Springs,8,08/19/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070129,39.819876,-105.690771
Upper Long Lake,TRUE,1939,1500,Jefferson,Ralston Creek,Arvada,2,06/06/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070114,39.822846,-105.23565
Blunn,FALSE,1979,6361,Jefferson,Ralston Creek,Arvada,0,01/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070302,39.822986,-105.204323
Tucker Lake - South Dam,FALSE,1899,882,Jefferson,Ralston Creek,Arvada,0.1,01/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070232,39.825441,-105.19719
Tucker Lake - North Dam,FALSE,1906,586,Jefferson,Ralston Creek,Arvada,0,01/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070320,39.830126,-105.196888
Ralston,FALSE,1937,10749,Jefferson,Ralston Creek,Arvada,1,06/06/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070224,39.831358,-105.241183
Loch Lomond,FALSE,1963,875,Clear Creek,Fall River,Idaho Springs,9,08/19/2019,https://dwr.state.co.us/Tools/DamSafety/Details/070210,39.833713,-105.675833
Leyden,FALSE,1902,90,Jefferson,Leyden Creek,Arvada,0.1,03/06/2017,https://dwr.state.co.us/Tools/DamSafety/Details/070209,39.83834,-105.170567
Kalcevic,FALSE,1955,43,Adams,Clear Creek,Westminster,0.1000000015,01/25/2017,https://dwr.state.co.us/Tools/DamSafety/Details/070201,39.841042,-105.003785
South Tani Reservoir,FALSE,2006,6607,Adams,South Platte River,Thornton,0.1000000015,04/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/020652,39.844018,-104.939487
Fortune,FALSE,2001,9800,Jefferson,Big Dry Creek,Westminster,4,09/26/2019,https://dwr.state.co.us/Tools/DamSafety/Details/020635,39.856119,-105.175288
Niver Creek Detention,FALSE,1978,415,Adams,South Platte River,Thornton,0.1000000015,05/17/2017,https://dwr.state.co.us/Tools/DamSafety/Details/020418,39.856981,-104.989243
Standley Lake,FALSE,1913,43344,Jefferson,Big Dry Creek,Westminster,0.1,05/16/2019,https://dwr.state.co.us/Tools/DamSafety/Details/020326,39.866677,-105.110574
Woman Creek,FALSE,1995,836,Jefferson,Woman Creek,Westminster,0.1000000015,12/13/2017,https://dwr.state.co.us/Tools/DamSafety/Details/020633,39.872585,-105.159111
Green Mountain,FALSE,1941,154600,Summit,Blue River,Kremmling,12,05/14/2019,https://dwr.state.co.us/Tools/DamSafety/Details/360106,39.877796,-106.330298
Ketner,FALSE,1961,166,Jefferson,Walnut Creek,Westminster,0,03/19/2019,https://dwr.state.co.us/Tools/DamSafety/Details/020226,39.881591,-105.108282
Great Western,FALSE,1903,2200,Broomfield,Walnut Creek,Westminster,1,05/22/2019,https://dwr.state.co.us/Tools/DamSafety/Details/020212,39.896062,-105.14838
Dunes,FALSE,2012,5192,Adams,South Platte River,Brighton,4,05/15/2019,https://dwr.state.co.us/Tools/DamSafety/Details/020651,39.903147,-104.877537
Nissen #2,FALSE,1974,154,Broomfield,Big Dry Creek,Broomfield,0.1,10/08/2019,https://dwr.state.co.us/Tools/DamSafety/Details/020411,39.935149,-105.068537
Superior,FALSE,1994,400,Boulder,Coal Creek,Superior,0.1,09/16/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060310,39.940285,-105.166396
Gross,FALSE,1955,41811,Boulder,South Boulder Creek,Eldorado Springs,7,07/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060211,39.948336,-105.358902
Mckay Lake - South,FALSE,1900,375,Adams,Big Dry Creek,Westminster,0.200000003,03/19/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060324,39.950567,-105.013824
Marshall Lake,FALSE,1908,11545,Boulder,South Boulder Creek,Marshall,4,10/09/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060203,39.951045,-105.209304
Barr Lake,FALSE,1893,30057,Adams,Beebe Draw,Hudson,9,10/08/2019,https://dwr.state.co.us/Tools/DamSafety/Details/020101,39.954119,-104.746219
Mckay Lake - East,FALSE,1900,375,Adams,Big Dry Creek,Westminster,1,03/19/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060202,39.955036,-105.007807
Terminal Storage Reservoir,FALSE,1995,386,Broomfield,Big Dry Creek,Westminster,2.5,05/22/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060315,39.96029,-105.044736
Barker Meadow,FALSE,1909,11200,Boulder,Middle Boulder Creek,Boulder,11,06/26/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060102,39.965926,-105.482281
Big Beaver,FALSE,1964,7658,Rio Blanco,Big Beaver Creek,Meeker,18,09/16/2019,https://dwr.state.co.us/Tools/DamSafety/Details/430103,39.97029,-107.647511
Jasper,FALSE,1988,325,Boulder,Jasper Creek,Eldora,5,09/20/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060129,39.974949,-105.660547
Smith Irrigation,FALSE,1908,257,Adams,Todd Creek,Brighton,3,06/04/2019,https://dwr.state.co.us/Tools/DamSafety/Details/020325,39.97626,-104.893779
Kossler,FALSE,1909,180,Boulder,Woods Gulch,Eldorado Springs,6,06/26/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060130,39.977729,-105.330585
Harper Lake,FALSE,1985,715,Boulder,Coal Creek,Louisville,1,09/16/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060304,39.981405,-105.161003
Siena,FALSE,2004,450,Broomfield,Coal Creek,Lafayette,2,05/22/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060326,39.981639,-105.030204
Sylvan,FALSE,1910,835,Grand,Little Muddy Creek,Parshall,6,06/28/2019,https://dwr.state.co.us/Tools/DamSafety/Details/510125,39.983338,-106.123897
Grimes Brooks,FALSE,1903,426,Routt,Red Dirt Creek,Mc Coy,10,06/27/2019,https://dwr.state.co.us/Tools/DamSafety/Details/530109,39.990287,-106.815006
Waneka,FALSE,1865,604,Boulder,Coal Creek,Lafayette,0.1000000015,03/12/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060225,39.993042,-105.109945
Baseline - East,FALSE,1905,5300,Boulder,Dry Creek,Boulder,0.14,03/12/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060103,39.998573,-105.198472
Baseline - Northwest,FALSE,1905,5300,Boulder,South Boulder Creek,Boulder,0,03/12/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060318,40.002785,-105.206404
Horse Creek,FALSE,1910,15537,Weld,Horse Creek,Kuner,25,09/06/2019,https://dwr.state.co.us/Tools/DamSafety/Details/010222,40.007916,-104.576495
Bull Canal (Main Reservoir),FALSE,1982,4000,Weld,Big Dry Creek,Fort Lupton,10,10/08/2019,https://dwr.state.co.us/Tools/DamSafety/Details/020607,40.014548,-104.959596
Erie,FALSE,1935,306,Boulder,Boulder Creek,Erie,2,10/09/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060115,40.019335,-105.096722
Glacier Lake,FALSE,1905,229,Boulder,Pennsylvania Gulch,Boulder,13,09/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060119,40.02393,-105.499541
Leggett & Hillcrest,FALSE,1917,11234,Boulder,South Boulder Creek,Boulder,0.1000000015,10/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060131,40.025549,-105.208547
Silver Lake,FALSE,1887,3987,Boulder,North Boulder Creek,Boulder,17,09/06/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060214,40.028217,-105.577357
Valmont A,FALSE,1962,11234,Boulder,Boulder Creek,Boulder,0.1000000015,10/18/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060221,40.030005,-105.183901
Stillwater #1,TRUE,1939,6088,Garfield,Bear River,Yampa,15,09/17/2019,https://dwr.state.co.us/Tools/DamSafety/Details/580135,40.030006,-107.120567
Williams Fork,FALSE,1938,90640,Grand,Williams Fork River,Parshall,2,08/28/2019,https://dwr.state.co.us/Tools/DamSafety/Details/510127,40.035006,-106.20557
Hayden,FALSE,1905,502,Boulder,Boulder Creek,Boulder,0.1000000015,09/23/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060126,40.035028,-105.236366
Pine Brook,FALSE,2006,120,Boulder,Two Mile Creek,Boulder,1,07/30/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060328,40.049074,-105.312395
Mesa Park,FALSE,1907,120,Boulder,Fourmile Canyon Creek,Boulder,0.1000000015,10/08/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060205,40.04951,-105.286687
Meadow Creek,FALSE,1974,5370,Grand,Meadow Creek,Tabernash,6,08/20/2019,https://dwr.state.co.us/Tools/DamSafety/Details/510118,40.052225,-105.752234
Yamcolo,FALSE,1980,9580,Garfield,Bear River,Yampa,11,10/03/2019,https://dwr.state.co.us/Tools/DamSafety/Details/580301,40.052929,-107.047681
Davis No. 1,FALSE,1910,138,Boulder,Dry Creek,Boulder,0.1000000015,09/23/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060111,40.063579,-105.198145
Six Mile - Main,FALSE,1892,1367,Boulder,Little Dry Creek,Boulder,1,10/03/2019,https://dwr.state.co.us/Tools/DamSafety/Details/060215,40.067508,-105.218068
